"ID","Title","Organisation ID","Organisation Name","Organisation Profile","Posted By - Name","Posted By - Profile","Short description","Location","Remote work allowed","Benefits","Workplace type","Description","Seniority level","Under 10 applications","Job functions","Date posted","Date expires","Industry","Source domain","Easy apply","Job type","Industry","Link"
"4246274263","DevOps Specialist","b3JnOjg4MDg0Ng==","ConSol Partners","https://www.linkedin.com/company/consol-partners/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4246274263"
"4242070016","Software Engineer","b3JnOjU4MDEwNg==","Tillo","https://www.linkedin.com/company/tillo/life","","","-","Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4242070016"
"4249903123","Software Engineer","b3JnOjEzMDMzMjY3Ng==","NCR Atleos","https://www.linkedin.com/company/ncratleos/life","","","-","Western Cape, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249903123"
"4236241033","Senior Software Engineer","b3JnOjE3NzY3","Sanlam","https://www.linkedin.com/company/sanlam/life","","","-","Bellville, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4236241033"
"4214967738","Senior Statistical Programmer","b3JnOjI0NjE3OQ==","Cytel","https://www.linkedin.com/company/cytel/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4214967738"
"4127805270","Back End Developer","b3JnOjExNzg2NDA1NQ==","DataAnnotation","https://www.linkedin.com/company/dataannotationtech/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4127805270"
"4247917311","Technology/Domain Specialist II - CICS Systems Programmer","b3JnOjI0Mjc5Nw==","Nedbank","https://www.linkedin.com/company/nedbank/life","","","-","Johannesburg Metropolitan Area (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247917311"
"4247488329","Senior Code Reviewer for LLM Data Training (HTML/CSS)","b3JnOjUxNzc0MjkzNw==","SME Work","https://www.linkedin.com/company/sme-work/life","","","-","South Africa (Remote)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4247488329"
"4249911386","Intermediate Software Engineer","b3JnOjQ2NzI3NzQ3MA==","Juru Holdings","https://www.linkedin.com/company/juru-holdings/life","","","-","City of Cape Town, Western Cape, South Africa (Hybrid)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4249911386"
"4246031783","Systems Engineer - P2","b3JnOjEzODkzMA==","Sandvik","https://www.linkedin.com/company/sandvik/life","","","-","Kempton Park, Gauteng, South Africa (On-site)","","","","","","","","2025-06-17 15:20:28","","","","NO","","","https://www.linkedin.com/jobs/view/4246031783"
